epoch,train_loss,val_acc,val_f1,improved
1,1.4207711219787598,31.0,0.2800015472573666,True
2,1.3964342403411865,34.75,0.33876054558230545,True
3,1.3660014128684999,37.25,0.3577254575532891,True
4,1.3352072477340697,43.75,0.41294333988054677,True
5,1.3046860122680664,47.5,0.4579261093386492,True
6,1.241587028503418,54.50000000000001,0.524506793469919,True
7,1.157452368736267,62.0,0.5912855401633706,True
8,1.0531936597824096,64.0,0.6058619298199752,True
9,0.9305362701416016,68.25,0.670568010740225,True
10,0.8797010600566864,68.5,0.6757314229550561,True
11,0.8283979833126068,69.75,0.6901543346182873,True
12,0.78717698097229,71.5,0.707718091816181,True
13,0.7331292271614075,71.0,0.7038628209287034,False
14,0.6804147517681122,71.5,0.7144915545242542,False
15,0.6264569365978241,71.5,0.7102964603555898,False
16,0.623214607834816,72.5,0.720307496772093,True
17,0.5822487807273865,72.75,0.7251020654373325,True
18,0.5530517816543579,75.25,0.7428572863632131,True
19,0.5235389614105225,77.25,0.7618790600316625,True
20,0.4898481649160385,73.75,0.7418606932661479,False
21,0.4820673668384552,76.75,0.7625391275391274,False
22,0.46420917212963103,73.0,0.726397104307552,False
23,0.4691453629732132,81.0,0.8096049344579349,True
24,0.4581553220748901,78.0,0.7765650667401441,False
25,0.43320571482181547,79.75,0.7927237433862433,False
26,0.3969704502820969,80.5,0.8028001078729099,False
27,0.40756515085697176,78.0,0.7761953797095421,False
28,0.4139658612012863,78.75,0.7874436597789614,False
29,0.41116141200065615,79.75,0.7964738982364963,False
30,0.408656604886055,80.0,0.80033418380143,False
31,0.39743438839912415,80.0,0.7966520249831713,False
32,0.40174371778964996,81.25,0.8093704449489985,True
33,0.3971034532785416,83.5,0.834037905118619,True
34,0.40077497899532316,78.0,0.7784637237762237,False
35,0.38732010006904605,82.75,0.8257132768606757,False
36,0.37597125709056856,82.75,0.8267965440356746,False
37,0.3779413574934006,80.75,0.8068230002993768,False
38,0.38794907450675964,82.0,0.8186003988837561,False
39,0.3812190520763397,81.0,0.8093235161571015,False
40,0.3746975576877594,84.25,0.8413652813311063,True
41,0.35837527811527253,84.0,0.8389505958321943,False
42,0.36340937912464144,82.0,0.8186924048645,False
43,0.3677168345451355,83.5,0.8349075039322298,False
44,0.37502740502357484,81.25,0.8118860564100889,False
45,0.38536915600299837,81.5,0.8151035149027757,False
46,0.40234965801239014,80.5,0.8042144381228462,False
47,0.3847636753320694,84.5,0.8434952587809428,True
48,0.3653251153230667,81.0,0.8110213309515579,False
49,0.3635357135534287,83.0,0.8283367839889579,False
50,0.35937821984291074,82.5,0.8233980161604799,False
51,0.3636928629875183,82.25,0.8196555486878205,False
52,0.3579147756099701,82.75,0.8267582812750044,False
53,0.3559599506855011,83.0,0.8283244688457853,False
54,0.3556371945142746,84.5,0.8439309528357581,False
55,0.3552375650405884,83.5,0.8337750770604673,False
56,0.35355084836483003,83.75,0.8347688862637217,False
57,0.3620030117034912,84.5,0.8440493415977158,False
58,0.36112180292606355,82.75,0.8260808236784866,False
59,0.3582924520969391,82.75,0.8263999123528519,False
60,0.3550015944242477,82.75,0.826284030715401,False
61,0.3535182601213455,84.0,0.8384482782180399,False
62,0.3583125478029251,84.25,0.840939623585825,False
63,0.35615437805652617,84.75,0.8455249307946837,True
64,0.3533432412147522,84.0,0.8387923646607115,False
65,0.3537290394306183,86.25,0.8613441462481285,True
66,0.355736762881279,86.25,0.8618480178743337,False
67,0.35370157480239867,86.5,0.8646233356241424,True
68,0.3562082928419113,84.5,0.8446938806213947,False
69,0.35430080711841583,84.75,0.8468304347826087,False
70,0.3541912096738815,84.75,0.8463422427952816,False
71,0.3560955387353897,85.0,0.8488817261288859,False
72,0.3517603749036789,85.75,0.8564695340501792,False
73,0.35618282198905943,85.5,0.8540190818707201,False
74,0.35205786347389223,84.75,0.8464513507789571,False
75,0.3556340253353119,84.5,0.8442935872431896,False
76,0.35097904145717623,85.0,0.8486576433484927,False
77,0.3513933765888214,85.25,0.851916198101344,False
78,0.3515576696395874,85.0,0.8490753704839998,False
79,0.35439918339252474,85.5,0.8541632044733026,False
80,0.3505619311332703,85.0,0.8490020163714934,False
81,0.35074495315551757,84.75,0.8470523563959318,False
82,0.3504545521736145,86.0,0.8596249980620055,False
83,0.35145004153251647,85.25,0.8517443452380953,False
84,0.35047009348869324,86.25,0.8621241886536163,False
85,0.3502757090330124,85.5,0.8543303804453194,False
86,0.35027542293071745,85.25,0.8517029468142934,False
87,0.3518392139673233,85.5,0.8543635077793493,False
88,0.3508680534362793,85.0,0.8498564394148923,False
89,0.3505723071098328,86.5,0.8645848123175489,False
90,0.34990563094615934,85.25,0.851916198101344,False
91,0.35040766298770903,85.0,0.8491958213607699,False
92,0.3502765762805939,85.25,0.851916198101344,False
93,0.35137589812278747,85.75,0.8573084105377791,False
94,0.35029573321342466,85.5,0.8542068327711893,False
95,0.3510549598932266,85.25,0.8517451882483646,False
96,0.3499653172492981,85.25,0.8519944992579728,False
97,0.34980016767978667,84.0,0.8395903609729717,False
98,0.35023303389549254,86.5,0.8643797615892823,False
99,0.35196544528007506,85.25,0.8519944992579728,False
100,0.3505588525533676,84.5,0.8440757456828885,False
